名次,昵称,组别,总分,最后提交时间
1,WCjrCK,已封禁,4990,2023-10-17 21:46:47
2,A,已封禁,3426,2023-10-18 17:33:52
3,abc,已封禁,2723,2023-10-18 15:00:29
4,にゃこちゃん大好き,已封禁,1646,2023-10-18 10:46:26
5,watch,已封禁,1549,2023-10-15 17:51:06
6,阿八八八,已封禁,1543,2023-10-14 21:58:19
7,Zrzz,已封禁,1468,2023-10-18 01:13:15
8,untested,已封禁,1440,2023-10-18 15:13:41
9,henry,已封禁,1277,2023-10-17 23:15:34
10,test,已封禁,1271,2023-10-16 16:20:16
11,kevin006,已封禁,1153,2023-10-18 16:17:38
12,huige,已封禁,1100,2023-10-14 20:33:38
13,无名氏,已封禁,959,2023-10-19 09:50:25
14,optimize_2 # 谢谢喵,已封禁,927,2023-10-19 19:29:52
15,stuuupidcat,已封禁,903,2023-10-16 10:37:00
16,SilverWolf,已封禁,812,2023-10-17 20:42:40
17,繁星,已封禁,812,2023-10-17 20:43:53
18,大家做慢点,已封禁,812,2023-10-18 16:07:34
19,Cogliffer,已封禁,671,2023-10-16 21:27:24
20,FlowerCrack,已封禁,640,2023-10-17 17:10:15
21,IHK,已封禁,633,2023-10-14 20:20:57
22,法棍雨天会吹水,已封禁,485,2023-10-18 14:31:07
23,zzz,已封禁,397,2023-10-15 17:56:44
24,朕,已封禁,369,2023-10-17 21:44:10
25,关注chilichill谢谢喵,已封禁,247,2023-10-14 11:31:58
26,CL1-子非鱼,已封禁,247,2023-10-14 14:15:49
27,CL1虎恒 #跟着森哥混，一天吃九顿,已封禁,247,2023-10-14 14:17:26
28,CL1-dan尼,已封禁,247,2023-10-14 15:33:08
29,锅锅香,已封禁,186,2023-10-13 23:17:07
30,u3gali,已封禁,186,2023-10-13 23:19:40
31,再来一次,已封禁,186,2023-10-13 23:20:03
32,.Evil_Lun4,已封禁,186,2023-10-14 00:18:02
33,宋羽 #2021010910008,已封禁,178,2023-10-15 15:34:55
34,CL1 -李鑫淼,已封禁,168,2023-10-14 11:53:55
35,梅州三级第汤饭,已封禁,168,2023-10-18 01:47:19
36,1024,已封禁,166,2023-10-17 21:27:08
37,test,已封禁,135,2023-10-15 21:13:26
38,zdabajfk,已封禁,119,2023-10-13 19:09:12
39,uu2fu3o,已封禁,119,2023-10-13 19:09:18
40,eqweqw,已封禁,119,2023-10-13 19:20:08
41,aaa4dr,已封禁,119,2023-10-13 20:35:58
42,马西欧,已封禁,107,2023-10-13 20:14:37
43,CL1-CL5,已封禁,107,2023-10-14 09:58:34
44,%01,已封禁,107,2023-10-14 18:32:52
45,liddell,已封禁,101,2023-10-14 13:37:49
46,Friday_Geek,已封禁,101,2023-10-14 22:05:34
47,Nadja #1000%,已封禁,92,2023-10-18 01:10:03
48,Cain,已封禁,82,2023-10-14 16:04:53
49,Kxheng,已封禁,61,2023-10-13 19:36:24
50,七月的星期八,已封禁,40,2023-10-13 18:35:13
51,naiahz,已封禁,40,2023-10-13 18:44:02
52,kukos,已封禁,40,2023-10-13 19:16:39
53,diffany,已封禁,40,2023-10-13 19:49:52
54,范戴克小罗,已封禁,40,2023-10-13 22:46:01
55,I1ovey0u,已封禁,40,2023-10-13 23:30:44
56,川崎夏生,已封禁,40,2023-10-14 00:38:05
57,HUAJI,已封禁,40,2023-10-14 10:05:36
58,AoiA,已封禁,40,2023-10-14 12:07:17
59,赵世豪,已封禁,40,2023-10-15 19:24:33
60,teerw,已封禁,40,2023-10-16 10:46:50
61,clrt,已封禁,40,2023-10-16 18:47:46
62,mac,已封禁,40,2023-10-16 20:53:49
63,依然春日影,已封禁,40,2023-10-17 09:34:26
64,抹茶_SMU,已封禁,40,2023-10-17 19:13:12
65,leyizhe,已封禁,40,2023-10-17 19:29:22
66,hhhhhhasda,已封禁,40,2023-10-17 23:15:36
67,yizhihua,已封禁,40,2023-10-18 00:39:05
68,pouringyu,已封禁,40,2023-10-18 00:58:13
