名次,昵称,组别,总分,最后提交时间
1,MonKey #GG,,5814,2023-10-18 18:12:26
2,gzz #放弃治疗,,5423,2023-10-17 01:35:42
3,1111,,5087,2023-10-18 03:17:05
4,bubb1eGvm,,4930,2023-10-19 18:53:59
5,DawnAA #长期素食为什么不吃小🥒,,4782,2023-10-20 13:58:57
6,koala,,4262,2023-10-20 17:01:39
7,Soyo0Love~ #天🥒弱,（新生）,4121,2023-10-18 13:19:44
8,vincent163 #随便玩玩,,4081,2023-10-18 17:25:09
9,ℒ𝓎𝔰itheα #明年最后一次来了,,3886,2023-10-18 19:16:24
10,雫るる今天吃一德格拉米 #关注るる谢谢喵,,3670,2023-10-20 14:50:22
11,Lost-MSth #呜呜呜我好菜,,3613,2023-10-20 15:18:50
12,wwj #120Hz 打音游一定很舒服吧,,3563,2023-10-19 15:10:19
13,test12345 #你怎么不说谢谢😡,,3553,2023-10-20 15:52:24
14,lyazj #想要平板笔送女朋友,,3432,2023-10-20 17:56:05
15,最后的ede  # 红莲の救世主,,3415,2023-10-20 11:27:38
16,wasa855 #破防下播,（新生）,3093,2023-10-19 14:14:37
17,Marvin #逆向真不熟,,3088,2023-10-19 17:29:08
18,outerform,,2937,2023-10-20 12:18:34
19,Wu_Ren #该写WP了,（新生）,2850,2023-10-18 11:57:38
20,g4bmyg #明年再来,,2720,2023-10-20 16:48:20
21,水帝WaterKing,,2695,2023-10-19 02:41:13
22,thrfirs #好难喵,,2692,2023-10-20 14:36:56
23,宮園かをり!,,2688,2023-10-20 14:21:01
24,nxp # 太难了,,2668,2023-10-18 17:55:17
25,Jaho #waht-si-a-gta,,2560,2023-10-20 17:08:47
26,RayW,,2533,2023-10-20 17:32:35
27,test #开摆😭,,2526,2023-10-20 16:47:18
28,长期素食,,2516,2023-10-18 08:28:46
29,sjfh #not sjfh,,2494,2023-10-19 12:51:35
30,Xzonn,,2491,2023-10-20 16:29:00
31,三😭️等😭️奖😭️分😭界😭️线,,2428,2023-10-19 19:04:26
32,AirHoister #一滴也没有了😭,,2224,2023-10-18 19:49:34
33,dywen,,2192,2023-10-19 15:19:09
34,H4kur31  # 我们明年再见,,2069,2023-10-20 16:14:33
35,hideyuki,,2049,2023-10-20 00:00:58
36,house_fz #四年没进前30,,1959,2023-10-20 14:57:30
37,peccc,,1880,2023-10-19 16:06:03
38,Bright,,1872,2023-10-19 03:06:36
39,王村ACAC #躺🛌🏻💤🙀,,1822,2023-10-18 09:14:07
40,Frenet,,1821,2023-10-18 17:21:31
41,Horbin #喵,,1685,2023-10-18 16:20:17
42,kfc2333 #283281645,,1661,2023-10-18 16:21:25
43,G4rl1c,,1582,2023-10-18 18:29:11
44,zyy,（新生）,1526,2023-10-20 16:07:19
45,forest,,1514,2023-10-18 21:36:18
46,Testify # Silent｜End,,1513,2023-10-20 17:51:34
47,今天给大家带来一局每人一小块地,,1503,2023-10-20 15:51:01
48,"gg #""ctf会带来不幸""",,1459,2023-10-20 14:56:52
49,shisanli #楼下别卷了😭,,1435,2023-10-20 08:20:12
50,👀 #Bε🚩bi,（新生）,1399,2023-10-20 17:32:22
51,sinoko #已让等待成为遗憾,,1384,2023-10-20 11:20:16
52,我好菜啊 #累了喵,,1329,2023-10-20 17:09:02
53,Eternity #没奖品喵，哭哭喵,,1244,2023-10-20 16:31:07
54,纳西妲 #不是我怎么下周有3个pre啊,,1198,2023-10-14 22:12:39
55,何日君再来 #明年再来喵,,1004,2023-10-19 21:28:21
56,wgsxm,,946,2023-10-18 22:53:37
57,Accepted,,940,2023-10-19 14:23:54
58,Fluffyω🎵@我要鸟加生煎0,,877,2023-10-18 22:05:08
59,infedg!,,791,2023-10-17 18:10:33
60,相对失败主义,,777,2023-10-18 10:16:30
61,alxdsptr,（新生）,701,2023-10-20 13:56:00
62,汪汪吱吱叽6{!_g?>:\t₱ss,,689,2023-10-16 01:36:37
63,Xtzzzz # 舞萌，启动！,,672,2023-10-16 04:54:41
64,ZelKnow,,630,2023-10-14 20:14:28
65,zhn # 真的没藏flag,,620,2023-10-16 17:20:43
66,大家都好强啊,,595,2023-10-16 15:57:48
67,太好听了吧简直就是天籁,,587,2023-10-19 00:35:06
68,moesakura$#{}*!@#$$%,,551,2023-10-17 15:00:48
69,融雪时分 #纯爱战士,,516,2023-10-15 16:24:07
70,Mizuki #大四老狗,,510,2023-10-16 13:28:55
71,ostinati ,,508,2023-10-19 21:37:13
72,玛卡巴卡,（新生）,490,2023-10-19 08:33:23
73,二次元疑似有点太多了,,485,2023-10-15 23:45:10
74,0_o,,423,2023-10-16 05:51:03
75,Fourieding,,422,2023-10-17 00:53:52
76,kumbaya/,,409,2023-10-15 13:29:40
77,Oblivionis,,403,2023-10-18 12:28:48
78,anita,,395,2023-10-19 11:58:19
79,QYQC,,386,2023-10-17 21:42:06
80,积木龙official,,367,2023-10-17 09:10:48
81,1,,358,2023-10-17 15:46:26
82,VectorPikachu,,353,2023-10-19 21:59:06
83,雏鹰飞天,,318,2023-10-18 22:08:59
84,bu_da_le,（新生）,302,2023-10-15 23:02:49
85,jnjnnj,,296,2023-10-20 08:27:57
86,Eureka,（新生）,292,2023-10-18 19:18:18
87,Elys1a,,290,2023-10-18 01:01:32
88,meoW meoW,,287,2023-10-14 15:53:46
89,Kazo,,277,2023-10-15 01:29:32
90,yingziyu,（新生）,250,2023-10-14 18:34:04
91,Colma△▽○░※☀①⒈Ⅲ⑴∴∝Γǎㄜ,（新生）,247,2023-10-14 00:31:45
92,FaniX,,245,2023-10-18 23:54:38
93,原神高手,,198,2023-10-14 21:04:18
94,orangejuice,,195,2023-10-13 19:11:05
95,aabb,,195,2023-10-17 22:39:48
96,zcx,,191,2023-10-14 14:53:24
97,Stone,,191,2023-10-14 15:14:43
98,Alan,,191,2023-10-15 19:50:40
99,jjz,,191,2023-10-16 13:44:36
100,\n,,186,2023-10-14 10:36:54
